Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555041600,0.0,0,0.015506237745285034
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555056000,0.0,0,0.015506237745285034
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1,8,26,0,7,12,1555070400,0.062,1,0.9984166622161864
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555084800,0.0,0,0.035302281379699714
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555099200,0.0,0,0.05491459369659424
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555113600,0.0,0,0.015506237745285034
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555124400,0.0,0,0.015506237745285034
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555041600,0.0,0,0.012166529893875122
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555056000,0.0,0,0.012166529893875122
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,2,9,26,1,7,9,1555070400,0.066,1,0.9984166622161864
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555084800,0.0,0,0.023908048868179318
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555099200,0.0,0,0.036246180534362786
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555113600,0.0,0,0.012166529893875122
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555124400,0.0,0,0.012166529893875122
