Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552795200,0.0,0,0.0018463134765625
4,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552809600,0.0,0,0.0031313300132751465
8,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552824000,0.0,0,0.0023705661296844482
12,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552838400,0.0,0,0.0010721087455749512
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552852800,0.0,0,0.00048428773880004883
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552867200,0.0,0,0.00029164552688598633
23,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1552878000,0.0,0,0.00028952956199645996
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552795200,0.0,0,0.001296401023864746
4,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552809600,0.0,0,0.0019497275352478027
8,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552824000,0.0,0,0.0019603371620178223
12,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552838400,0.0,0,0.0009999573230743408
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552852800,0.0,0,0.0004883408546447754
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552867200,0.0,0,0.00029200315475463867
23,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1552878000,0.0,0,0.00028818845748901367
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552795200,0.0,0,0.0012613534927368164
4,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552809600,0.0,0,0.0017989575862884521
8,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552824000,0.0,0,0.0016078948974609375
12,3,0,1,0.0,0.0,0.0,1.0,0.0,0.0,3,10,26,1,0,5,1552838400,0.0,0,0.000395357608795166
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552852800,0.0,0,0.00043523311614990234
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552867200,0.0,0,0.00029075145721435547
23,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1552878000,0.0,0,0.00028771162033081055
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1552795200,0.0,0,0.0013592839241027832
4,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1552809600,0.0,0,0.0020602643489837646
8,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1552824000,0.0,0,0.0015878379344940186
12,3,0,1,0.0,0.0,0.0,1.0,0.0,0.0,4,11,26,1,0,1,1552838400,0.0,0,0.00039133429527282715
16,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1552852800,0.0,0,0.0004254281520843506
