Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed
0,1,1,6,11.0,0,1,0,14,4.0,0,0,0,2.0,1579410000,0,0.97,45.49,0.86,0.0005,49.62,8.18
0,1,1,6,11.0,0,1,4,14,4.0,0,0,0,2.0,1579424400,0,0.98,28.13,0.68,0.0,37.82,9.01
1,0,2,6,11.0,0,1,8,14,4.0,0,0,0,2.0,1579438800,0,0.22,21.26,0.63,0.0,32.31,8.2
1,0,3,6,11.0,0,1,12,14,4.0,0,0,0,2.0,1579453200,0,0.03,20.18,0.5,0.0,37.26,10.24
1,0,4,6,11.0,0,1,16,14,4.0,0,0,0,2.0,1579467600,0,0.01,22.46,0.51,0.0007,39.1,10.74
1,0,1,6,11.0,0,1,20,14,4.0,0,0,0,2.0,1579482000,0,0.0,17.49,0.57,0.0007,31.15,8.67
1,0,1,6,11.0,0,1,23,14,4.0,0,0,0,2.0,1579492800,0,0.0,13.99,0.57,0.001,27.02,8.89
0,1,1,6,17.0,0,2,0,2,2.0,0,0,0,2.0,1579410000,0,0.97,44.88,0.86,0.0005,48.91,8.09
0,1,1,6,17.0,0,2,4,2,2.0,0,0,0,2.0,1579424400,0,0.98,28.05,0.67,0.0,37.95,8.95
1,0,2,6,17.0,0,2,8,2,2.0,0,0,0,2.0,1579438800,0,0.22,21.14,0.63,0.0,32.29,8.1
1,0,3,6,17.0,0,2,12,2,2.0,0,0,0,2.0,1579453200,0,0.03,19.63,0.5,0.0,36.64,10.21
1,0,4,6,17.0,0,2,16,2,2.0,0,0,0,2.0,1579467600,0,0.01,21.64,0.51,0.0007,38.17,10.72
1,0,1,6,17.0,0,2,20,2,2.0,0,0,0,2.0,1579482000,0,0.0,16.96,0.57,0.0007,30.46,8.68
1,0,1,6,17.0,0,2,23,2,2.0,0,0,0,2.0,1579492800,0,0.0,13.48,0.57,0.001,26.56,8.92
0,1,1,6,11.0,0,3,0,111,4.0,0,0,0,2.0,1579410000,0,0.98,45.71,0.85,0.0005,50.07,7.31
0,1,1,6,11.0,0,3,4,111,4.0,0,0,0,2.0,1579424400,0,0.97,28.99,0.69,0.0,38.33,8.55
1,0,2,6,11.0,0,3,8,111,4.0,0,0,0,2.0,1579438800,0,0.22,21.84,0.65,0.0,32.46,7.46
1,0,3,6,11.0,0,3,12,111,4.0,0,0,0,2.0,1579453200,0,0.03,21.12,0.5,0.0,38.0,10.12
1,0,4,6,11.0,0,3,16,111,4.0,0,0,0,2.0,1579467600,0,0.01,23.37,0.5,0.0007,40.63,10.62
1,0,1,6,11.0,0,3,20,111,4.0,0,0,0,2.0,1579482000,0,0.0,17.7,0.54,0.0007,32.33,8.67
1,0,1,6,11.0,0,3,23,111,4.0,0,0,0,2.0,1579492800,0,0.0,14.43,0.57,0.0011,27.77,8.95
0,1,1,6,11.0,0,4,0,38,4.0,0,0,0,2.0,1579410000,0,0.98,45.65,0.85,0.0005,50.07,7.21
