Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed
1,0,1,1,11.0,0,1,0,14,4.0,0,0,0,2.0,1579582800,1,0.06,12.53,0.61,0.0,24.16,7.08
0,1,1,1,11.0,0,1,4,14,4.0,0,0,0,2.0,1579597200,1,0.56,13.32,0.62,0.0005,24.57,8.43
1,0,2,1,11.0,0,1,8,14,4.0,0,0,0,2.0,1579611600,1,0.2,13.92,0.64,0.0,24.25,8.13
1,0,3,1,11.0,0,1,12,14,4.0,0,0,0,2.0,1579626000,1,0.05,14.35,0.51,0.0009,30.16,7.75
1,0,4,1,11.0,0,1,16,14,4.0,0,0,0,2.0,1579640400,1,0.0,14.47,0.38,0.0,37.59,6.52
1,0,1,1,11.0,0,1,20,14,4.0,0,0,0,2.0,1579654800,1,0.0,14.61,0.54,0.0,29.14,3.67
1,0,1,1,11.0,0,1,23,14,4.0,0,0,0,2.0,1579665600,1,0.0,15.34,0.63,0.0,26.26,3.92
1,0,1,1,17.0,0,2,0,2,2.0,0,0,0,2.0,1579582800,1,0.06,12.06,0.61,0.0,23.71,7.1
0,1,1,1,17.0,0,2,4,2,2.0,0,0,0,2.0,1579597200,1,0.57,12.81,0.62,0.0005,24.03,8.45
1,0,2,1,17.0,0,2,8,2,2.0,0,0,0,2.0,1579611600,1,0.2,13.47,0.64,0.0,23.75,8.14
1,0,3,1,17.0,0,2,12,2,2.0,0,0,0,2.0,1579626000,1,0.05,13.6,0.51,0.0009,29.37,7.77
1,0,4,1,17.0,0,2,16,2,2.0,0,0,0,2.0,1579640400,1,0.0,13.48,0.38,0.0,36.53,6.55
1,0,1,1,17.0,0,2,20,2,2.0,0,0,0,2.0,1579654800,1,0.0,14.38,0.54,0.0,28.9,3.67
1,0,1,1,17.0,0,2,23,2,2.0,0,0,0,2.0,1579665600,1,0.0,15.35,0.63,0.0,26.39,3.92
